COUNTY_ID,DIST_ID,COUNTY_NAME,DISTRICT_NAME,2010_11_TOTAL,2011_12_TOTAL,2012_13_TOTAL,2013_14_TOTAL,2014_15_TOTAL,2015_16_TOTAL,DIFFERENCE
3,4370,BERGEN,RIDGEFIELD BORO,1437,1664.5,1759,1766.5,1729,1699,262
25,4360,MONMOUTH,RED BANK BORO,993,1018,1134,1159,1224,1255,262
80,6058,CHARTERS,Roseville Community CS,,85,190,259,320,349,264
15,1180,GLOUCESTER,EAST GREENWICH TWP,1009,1096,1195,1218,1243,1276,267
80,6059,CHARTERS,Newark Prep Charter School,,,179,302,411,448,269
80,6104,CHARTERS,International Academy of Atlantic City Charter School,,,,,,273,273
80,6057,CHARTERS,Peoples Preparatory Charter School,,98,190,273,370,377,279
3,1700,BERGEN,GARFIELD CITY,4490,4480.5,4609,4737,4877.5,4777.5,287.5
25,1640,MONMOUTH,FREEHOLD BORO,1413,1475,1481,1563,1628,1702,289
3,1270,BERGEN,EDGEWATER BORO,615,657,695,603,913,917,302
80,7503,CHARTERS,Paterson CS for Sci/Tech,733,1022,1039,1026,1046,1044,311
80,6101,CHARTERS,College Achieve Central Charter School,,,,,,311,311
23,3150,MIDDLESEX,MIDDLESEX CO VOCATIONAL,1764,1808.5,1886.5,1968.5,2003.5,2090,326
15,2440,GLOUCESTER,KINGSWAY REGIONAL,2223.5,2054.5,2346.5,2445.5,2531,2561.5,338
3,890,BERGEN,CLIFFSIDE PARK BORO,2656,2790.5,2845.5,2901,2967.5,2996.5,340.5
27,3385,MORRIS,MORRIS SCHOOL DISTRICT,4880,4152.5,5024,5097.5,5225.5,5229,349
25,2770,MONMOUTH,LONG BRANCH CITY,5351,5331,5397,5452.5,5648.5,5705.5,354.5
80,6053,CHARTERS,Great Oaks Charter School,,133,206,277,352,489,356
80,6082,CHARTERS,Beloved Community Charter School,,,355,479,598,720,365
80,6080,CHARTERS,Passaic Arts and Science Charter School,,357,415,479,536,730,373
13,410,ESSEX,BLOOMFIELD TWP,5948,6059,6132.5,6173,6175,6337,389
7,1799,CAMDEN,"KIPP: Cooper Norcross, A New Jersey Nonprofit Corporation",,,,,104,498,394
39,5260,UNION,UNION COUNTY VOCATIONAL,1286.5,1513.5,1576,1594.5,1639,1683.5,397
80,6021,CHARTERS,Community Charter School of Paterso,485,455,584,699,810,895,410
1,4180,ATLANTIC,PLEASANTVILLE CITY,3191,3223,3878,3769,3866,3608,417
3,3170,BERGEN,MIDLAND PARK BORO,550,818,1061,1004.5,991,971,421
31,4010,PASSAIC,PATERSON CITY,24394,24257,24572,24797,25038,24817,423
80,8065,CHARTERS,University Heights CS,221,288,335,457,547,658,437
29,3790,OCEAN,OCEAN COUNTY VOCATIONAL,865,1195,1293.5,1342.5,1381,1313.5,448.5
1,110,ATLANTIC,ATLANTIC CITY,6677,6669.5,7043,7309.5,7260,7130,453
80,6013,CHARTERS,Bergen Arts and Sciences Charter School,502,558,575,877,959,969,467
13,4900,ESSEX,SOUTH ORANGE-MAPLEWOOD,6393,6512.5,6588,6752,6858.5,6872,479
7,2670,CAMDEN,LINDENWOLD BORO,2247,2293,2411,2467,2630,2743,496
80,6037,CHARTERS,Newark Legacy CS,119,90,242,295,610,642,523
27,3380,MORRIS,MORRIS PLAINS BORO,78,627,614,622,613,604,526
80,6063,CHARTERS,Camden Community Charter School,,,,149,398,679,530
80,7109,CHARTERS,LEAP Academy University CS,838,853,1204,1309,1378,1436,598
80,6240,CHARTERS,Freedom Prep Charter School,233,256,118,246,667,848,615
23,5850,MIDDLESEX,WOODBRIDGE TWP,13032,13109,13276.5,13448,13600,13654,622
25,3260,MONMOUTH,MONMOUTH CO VOCATIONAL,1613,2759,2209,2173,2257,2250,637
13,3880,ESSEX,CITY OF ORANGE TWP,4408,4618,4694,4826.5,5183.5,5112.5,704.5
80,6017,CHARTERS,Foundation Academy CS,195,304,365,544,788,908,713
3,1860,BERGEN,HACKENSACK CITY,4880.5,5164.5,5395.5,5423.5,5626.5,5624.5,744
29,2520,OCEAN,LAKEWOOD TWP,5269,5229,5186,5649,5807,6032,763
17,2410,HUDSON,KEARNY TOWN,5107,5920.5,5973,5912,5913,5910,803
23,3290,MIDDLESEX,MONROE TWP,5649,5831,6042.5,6106.5,6293.5,6456,807
1,120,ATLANTIC,ATLANTIC CO VOCATIONAL,686,842.5,995.5,1210,1398.5,1499,813
23,1290,MIDDLESEX,EDISON TWP,14191,14214.5,14307.5,14504,14659,15019.5,828.5
80,7210,CHARTERS,Marion P. Thomas CS,555,635,687,735,1175,1406,851
